Data,Hora,UmidadeAr,MedUAr,DesvUAr,Q1UAr,MedUAr,Q3UAr,OutUAr,Temp,MedT,DesvT,Q1T,MedT,Q3T,OutT,USolo,MedUS,DesvUS,Q1US,MedUS,Q3US,OutUS,Corr1,Corr2,Corr3
2025-04-23,13:25:00,85.00,10.63,30.05,0.00,0.00,0.00,SIM,28.50,3.56,10.08,0.00,0.00,0.00,SIM,74.00,9.25,26.16,0.00,0.00,0.00,SIM,0.0000,0.0000,0.0000
2025-04-23,13:30:00,85.00,21.25,39.35,0.00,0.00,85.00,NAO,28.50,7.13,13.19,0.00,0.00,28.50,NAO,76.00,18.75,34.72,0.00,0.00,74.00,NAO,0.0000,0.0000,0.0000
2025-04-23,13:35:00,85.00,31.87,43.99,0.00,0.00,85.00,NAO,28.60,10.70,14.77,0.00,0.00,28.50,NAO,78.00,28.50,39.35,0.00,0.00,76.00,NAO,0.0000,0.0000,0.0000
2025-04-23,13:40:00,85.00,42.50,45.43,0.00,85.00,85.00,NAO,28.70,14.29,15.27,0.00,28.50,28.60,NAO,76.00,38.00,40.64,0.00,74.00,76.00,NAO,0.0000,0.0000,0.0000
2025-04-23,13:45:00,86.00,53.25,44.10,0.00,85.00,85.00,NAO,28.80,17.89,14.81,0.00,28.50,28.70,NAO,77.00,47.63,39.45,0.00,76.00,77.00,NAO,0.0000,0.0000,0.0000
2025-04-23,13:50:00,86.00,64.00,39.50,85.00,85.00,86.00,NAO,29.00,21.51,13.28,28.50,28.60,28.80,NAO,77.00,57.25,35.35,74.00,76.00,77.00,NAO,0.0000,0.0000,0.0000
2025-04-23,13:55:00,86.00,74.75,30.21,85.00,85.00,86.00,NAO,29.20,25.16,10.17,28.50,28.70,29.00,NAO,77.00,66.87,27.05,76.00,77.00,77.00,NAO,0.0000,0.0000,0.0000
2025-04-23,14:00:00,86.00,85.50,0.53,85.00,86.00,86.00,NAO,29.30,28.82,0.31,28.60,28.80,29.20,NAO,78.00,76.62,1.30,76.00,77.00,78.00,NAO,0.0000,0.0000,0.0000
2025-04-23,14:05:00,87.00,85.75,0.71,85.00,86.00,86.00,NAO,29.30,28.93,0.32,28.70,29.00,29.30,NAO,77.00,77.00,0.76,77.00,77.00,78.00,NAO,0.0000,0.0000,0.0000
2025-04-23,14:10:00,87.00,86.00,0.76,86.00,86.00,87.00,NAO,29.30,29.02,0.29,28.80,29.20,29.30,NAO,77.00,77.12,0.64,77.00,77.00,78.00,NAO,0.0000,0.0000,0.0000
